    Phase shift (BFGS) in radians  Phase shift (BFGS) in degrees
0                       -0.429015                     -24.580724
1                        0.571505                      32.744817
2                        1.558462                      89.293321
3                        2.542132                     145.653412
4                       -2.752538                    -157.708824
5                       -1.758110                    -100.732277
6                       -0.768341                     -44.022692
7                        0.192861                      11.050098
8                       -0.767367                     -43.966885
9                        0.208701                      11.957714
10                       1.245239                      71.346956
11                       2.332782                     133.658580
12                      -2.830339                    -162.166483
13                      -1.698048                     -97.290969
14                      -0.579684                     -33.213441
15                       0.472235                      27.057051
16                      -1.068385                     -61.213956
17                       0.059646                       3.417484
18                       1.227678                      70.340763
19                       2.419986                     138.654995
20                      -2.659459                    -152.375756
21                      -1.459112                     -83.600955
22                      -0.291297                     -16.690069
23                       0.760675                      43.583461
24                      -1.026378                     -58.807109
25                       0.240261                      13.765927
26                       1.508200                      86.413470
27                       2.764344                     158.385222
28                      -2.297265                    -131.623569
29                      -1.142475                     -65.458990
30                      -0.107102                      -6.136502
31                       0.776474                      44.488686
32                      -0.521555                     -29.882929
33                       0.853996                      48.930373
34                       2.119557                     121.441696
35                      -3.021587                    -173.124210
36                      -2.007319                    -115.010928
37                      -1.080309                     -61.897148
38                      -0.148536                      -8.510492
39                       0.844758                      48.401060
40                       0.967373                      55.426373
41                       1.768321                     101.317359
42                       2.524634                     144.650896
43                      -2.972373                    -170.304408
44                      -2.085903                    -119.513463
45                      -1.107726                     -63.468048
46                      -0.072239                      -4.138992
47                       0.988731                      56.650116
48                       1.228610                      70.394145
49                       1.744468                      99.950677
50                       2.347053                     134.476241
51                       3.210950                     183.973900
52                      -2.079293                    -119.134707
53                      -1.040380                     -59.609359
54                       0.003787                       0.216983
55                       1.026393                      58.807968
56                       0.799671                      45.817798
57                       1.469674                      84.206134
58                       2.309888                     132.346840
59                      -3.017994                    -172.918312
60                      -2.020939                    -115.791300
61                      -1.029135                     -58.965080
62                      -0.074128                      -4.247221
63                       0.825823                      47.316178
Optimized max data rate (BFGS): 17.264210677211135
    Phase shift (SLSQP) in radians  Phase shift (SLSQP) in degrees
0                     2.608202e+00                    1.494390e+02
1                     3.609840e+00                    2.068286e+02
2                     4.598494e+00                    2.634743e+02
3                     5.578982e+00                    3.196521e+02
4                     2.850793e-01                    1.633384e+01
5                     1.276300e+00                    7.312661e+01
6                     2.269947e+00                    1.300584e+02
7                     3.229221e+00                    1.850208e+02
8                     2.272180e+00                    1.301863e+02
9                     3.246607e+00                    1.860169e+02
10                    4.284754e+00                    2.454983e+02
11                    5.371423e+00                    3.077599e+02
12                    2.056345e-01                    1.178199e+01
13                    1.337003e+00                    7.660463e+01
14                    2.457760e+00                    1.408193e+02
15                    3.511466e+00                    2.011922e+02
16                    1.969179e+00                    1.128256e+02
17                    3.099022e+00                    1.775609e+02
18                    4.265332e+00                    2.443855e+02
19                    5.460735e+00                    3.128770e+02
20                    3.737209e-01                    2.141263e+01
21                    1.585262e+00                    9.082880e+01
22                    2.749185e+00                    1.575167e+02
23                    3.799916e+00                    2.177191e+02
24                    2.014277e+00                    1.154096e+02
25                    3.275599e+00                    1.876780e+02
26                    4.543354e+00                    2.603150e+02
27                    5.805062e+00                    3.326056e+02
28                    7.363950e-01                    4.219233e+01
29                    1.894115e+00                    1.085248e+02
30                    2.932056e+00                    1.679944e+02
31                    3.817726e+00                    2.187396e+02
32                    2.518027e+00                    1.442723e+02
33                    3.890628e+00                    2.229166e+02
34                    5.154039e+00                    2.953047e+02
35                    8.171144e-03                    4.681721e-01
36                    1.033008e+00                    5.918700e+01
37                    1.956223e+00                    1.120833e+02
38                    2.892249e+00                    1.657137e+02
39                    3.881319e+00                    2.223832e+02
40                    4.009660e+00                    2.297366e+02
41                    4.805409e+00                    2.753296e+02
42                    5.566436e+00                    3.189333e+02
43                    5.427807e-02                    3.109905e+00
44                    9.502219e-01                    5.444370e+01
45                    1.932069e+00                    1.106994e+02
46                    2.966845e+00                    1.699877e+02
47                    4.026819e+00                    2.307197e+02
48                    4.268744e+00                    2.445810e+02
49                    4.783972e+00                    2.741014e+02
50                    5.386979e+00                    3.086512e+02
51                    1.059089e-19                    6.068133e-18
52                    9.551127e-01                    5.472393e+01
53                    1.995037e+00                    1.143072e+02
54                    3.043228e+00                    1.743641e+02
55                    4.062819e+00                    2.327824e+02
56                    3.835837e+00                    2.197773e+02
57                    4.508289e+00                    2.583059e+02
58                    5.348916e+00                    3.064703e+02
59                    1.723377e-02                    9.874226e-01
60                    1.019545e+00                    5.841560e+01
61                    2.010267e+00                    1.151798e+02
62                    2.962737e+00                    1.697523e+02
63                    3.862749e+00                    2.213192e+02
Optimized max data rate (SLSQP): 17.26419311541145
